"","ZONE","site","depth","SA","complexity","rugosity","LC","HC","macro","SCORE1","SCORE2","Herbivore.abundance","Invertivore.abundance","Piscivore.abundance","Planktivore.abundance","Herbivore.biomass","Invertivore.biomass","Piscivore.biomass","Planktivore.biomass","sqrt.Herbivore.abundance","sqrt.Invertivore.abundance","sqrt.Piscivore.abundance","sqrt.Planktivore.abundance","log.Herbivore.biomass","log.Invertivore.biomass","log.Piscivore.biomass","log.Planktivore.biomass"
"48","SANCTUARY","MANDU",2,146.1088593,3.5,2.068965517,0,30,0,2.31,1.83,69.000000001361,42.9999999960393,4,33.0000000053077,12744.969678556,5192.59999825238,1008.03050727283,234.478300093222,8.306623863,6.557438524,2,5.744562647,4.105372881,3.715468498,3.003904297,2.371950892
"49","FISHED","NTH MANDU",2.1,131.5907204,2.5,1.463414634,0,4,30,-0.0907,0.185,46.9999999945012,80.000000000015,9,14.0000000016917,5507.43484669658,2388.71761036502,1052.78118479028,129.659281903241,6.8556546,8.94427191,3,3.741657387,3.741028217,3.378346584,3.02275044,2.116140267
"50","FISHED","NTH MANDU",2.1,245.8616162,3.5,1.621621622,0,14,4,1.38,0.807,98.0000000076886,169,24.0000000042488,90.0000000093893,16834.0386972312,7608.5233146435,2359.76798527546,1162.4897161534,9.899494937,13,4.898979486,9.486832981,4.226214119,3.881357452,3.373053307,3.065762549
"51","FISHED","NTH MANDU",1.8,104.9810693,0.5,1.025641026,0,0,42,-2.48,-0.0295,1,8.00000000143577,0,0,534.622235802582,387.181562667963,0,0,1,2.828427125,0,0,2.728858598,2.589034904,0,0
"52","SANCTUARY","JURABI",3.5,68.67859444,3.5,1.578947368,6,2,0,1.28,-0.156,44.0000000038367,25,3.00000000149345,3.00000000149345,9472.66874115594,6984.73577381751,741.409370844327,123.156957059698,6.633249581,5,1.732050808,1.732050808,3.976518195,3.844212155,2.870643445,2.09397106
"53","SANCTUARY","JURABI",3.1,93.17856669,2.5,1.304347826,24,0,4,0.539,-1.02,45.9999999983008,47.9999999961824,34.9999999988213,601.999999864043,13787.904793807,8292.37163449782,4674.57175060516,6934.96632630571,6.782329983,6.92820323,5.916079783,24.53568829,4.139529773,3.918731127,3.669834726,3.841106976
"54","SANCTUARY","JURABI",3.9,16.65044968,2,1.25,6,1,0,-0.0707,-0.145,8.00000000143577,19.0000000040043,1.99999999894473,4,3129.13640765179,1162.3392579337,756.544265505118,121.333229805774,2.828427125,4.358898944,1.414213562,2,3.495563264,3.065706384,2.879408015,2.087544442
"55","SANCTUARY","MANDU",2.2,35.70542831,2.5,1.666666667,0,32,0,1.44,1.99,29.9999999994341,28.9999999985513,4,44.9999999933003,4958.2708627735,137.228795284991,1138.81817041535,212.80694248691,5.477225575,5.385164807,2,6.708203932,3.695417829,2.140598523,3.056835576,2.330021803
"56","SANCTUARY","MANDU",1.8,189.2793098,3.5,1.538461538,16,12,0,1.61,0.00253,34.9999999988213,67.999999996119,9.99999999893508,54.9999999985811,2962.86207064677,7473.90244408142,793.142385324529,718.255013860871,5.916079783,8.246211251,3.16227766,7.416198487,3.471857989,3.873605529,2.899898376,2.856882898
"57","SANCTUARY","MANDU",2.1,125.4875385,0.5,1.090909091,0,0,58,-2.59,-0.0631,1.99999999894473,6.99999999965822,1.99999999894473,6.00000000106221,545.637876961523,848.035942978674,239.717132884047,29.6675114433664,1.414213562,2.645751311,1.414213562,2.449489743,2.737699721,2.928926076,2.381507002,1.486678536
"58","SANCTUARY","MANDU",1.7,74.33842479,0.5,1.111111111,0,4,30,-1.84,0.281,1.99999999894473,8.00000000143577,3.00000000149345,1,288.63226795177,933.93018378085,632.93370505313,1.34797077510078,1.414213562,2.828427125,1.732050808,1,2.461846945,2.970779181,2.802043843,0.370692687
"59","SANCTUARY","MANDU",2.4,121.483438,3,1.578947368,0,22,0,1.34,1.34,12.9999999966541,27.0000000030488,4,27.0000000030488,1345.25980702884,3453.08026206883,32.6877972019976,177.364699709445,3.605551275,5.196152423,2,5.196152423,3.12912888,3.538332425,1.527472614,2.251308907
"60","FISHED","NTH MANGROVE",2.7,22.45597068,1.5,1.071428571,0,0,30,-1.61,-0.0618,0,9.99999999893508,1,33.0000000053077,0,74.9712503205486,7.53740737659967,299.910347347852,0,3.16227766,1,5.744562647,0,1.880649274,0.931326005,2.478437122
"61","FISHED","NTH MANGROVE",4,128.1922721,3.5,1.538461538,20,24,0,1.93,0.544,24.0000000042488,54.9999999985811,9.99999999893508,149.999999904081,4581.57478363159,9062.73501248728,2176.89212726392,552.800944380725,4.898979486,7.416198487,3.16227766,12.24744871,3.661109561,3.9573072,3.338036365,2.743353692
"62","FISHED","NTH MANGROVE",3.7,323.6801358,3,1.463414634,0,2,0,0.738,0.127,61.0000000014581,153.000000077853,228.999999987241,105.999999979676,15379.4341977427,20539.1075369777,50338.4136952294,4229.13727321757,7.810249676,12.36931688,15.13274595,10.29563014,4.186968596,4.312602713,4.701908153,3.626354461
"63","FISHED","NTH MANGROVE",3.5,181.7703167,3,1.714285714,0,6,0,1.22,0.405,53.9999999948629,71.9999999959513,6.99999999965822,106.999999942309,15925.8484278544,2805.71612671661,560.008908941227,1251.17842606241,7.348469228,8.485281374,2.645751311,10.34408043,4.202129847,3.44819849,2.748969758,3.097666217
"64","FISHED","NTH MANDU",1.8,178.8794146,1.5,1.2,0,0,64,-1.94,-0.143,9.99999999893508,31.9999999944294,9,22.0000000016564,1049.28925149044,2754.78323024882,724.264850223222,489.503659648725,3.16227766,5.656854249,3,4.69041576,3.021308921,3.440245053,2.86049663,2.690642252
"65","FISHED","NTH MANDU",2.1,106.6574218,3,1.333333333,0,0,36,-0.342,-0.147,39.9999999957403,44.0000000038367,11.9999999990456,61.0000000014581,3333.30344396718,1789.92491780471,251.462538666738,603.152295580001,6.32455532,6.633249581,3.464101615,7.810249676,3.523005121,3.253077379,2.402196945,2.78114643
"66","FISHED","NTH MANDU",2.2,247.9225686,3,1.463414634,4,10,0,0.978,0.431,70.999999997028,54.9999999985811,1.99999999894473,217.999999993108,8010.401455417,4448.31140645917,449.248587454151,1083.16794353401,8.426149773,7.416198487,1.414213562,14.76482306,3.903708495,3.648292803,2.653452359,3.035096562
"67","FISHED","NTH MANDU",2.9,51.58277782,3,1.875,4,0,0,1.38,-0.103,20.0000000000038,24.0000000042488,8.00000000143577,105.000000082804,1099.8229191416,1600.51802504207,896.055652280181,2111.21285779557,4.472135955,4.898979486,2.828427125,10.24695077,3.041717463,3.204531831,2.952819387,3.324737682
"68","FISHED","NTH MANDU",3.1,385.0423834,4,1.363636364,22,0,34,0.653,-1.17,85.999999990806,133.999999935402,11.9999999990456,201.999999899036,19124.6324326281,144429.207436687,1233.68805619499,4373.69900130873,9.273618495,11.5758369,3.464101615,14.2126704,4.281615805,5.159658035,3.091557247,3.640948177
